Longitude,Latitude,WELL.ID,SOURCE,Arsenic,Barium,Calcium,Chloride,Chromium,Fluoride,Iron,Magnesium,Manganese,Nickel,Nitrate.as.N,Potassium,Selenium,Sodium,Sulfate,Uranium,Vanadium
-121.9083,39.5771,102087,LLNL,4.9,31,51000,140000,0.1779769,250,11.96429887,14000,76,3.979861949,14000,5700,4.503278553,140000,190000,1.05,4.9
-121.9083,39.5771,102087,LLNL,6.4,36,53000,140000,0.848987041,200,0.438144894,14000,77,1.8940316,14000,5900,4.383911192,150000,190000,0.805592095,3.1
-121.8773,39.745,103009,LLNL,1.6,58,86000,29000,0.492938084,310,530,13000,30,1.658913203,804.243074,2800,4.18237719,22000,120000,4.725,1.781613784
-121.8773,39.745,103009,LLNL,1.3,59,84000,29000,0.507652902,280,530,13000,24,4.601849536,292.1428094,3200,0.893173486,22000,110000,6.75,0.898618279
-121.8773,39.745,103009,LLNL,1.5,58,79000,30000,0.577221059,320,470,13000,28,0.527839402,20.09797085,3000,4.239420927,20000,110000,4.65,1.958608047
-121.8649,39.7618,103010,LLNL,3.3,63,63000,16000,2.8,300,19.78103697,11000,11,4.871009102,5800,3500,1.714739696,24000,65000,12.075,5
-121.8649,39.7618,103010,LLNL,3.7,100,72000,18000,2.4,300,11.55457207,12000,2.7,1.526205121,5300,2800,1.647564273,19000,73000,13.35,4.6
-121.8649,39.7618,103010,LLNL,2.3,91,69000,17000,2.6,290,11.467336,12000,6.1,2.862692479,5900,3000,3.280057211,18000,69000,7.65,5
-121.8649,39.7618,103010,LLNL,6.5,94,68000,17000,2.8,330,9.524126681,12000,4,4.779216237,4900,3000,1.389276035,18000,70000,24,4.1
-121.8489,39.7648,103011,LLNL,1.7,170,1.00E+05,46000,1.4,270,17.17715055,17000,2.4,2.453443359,11000,4000,1.459805679,25000,120000,7.8,4.8
-121.8489,39.7648,103011,LLNL,1.6,160,110000,46000,1.5,260,15.49323624,18000,0.004898991,1.738548833,11000,3900,1.576272479,24000,120000,7.65,4.6
-121.8489,39.7648,103011,LLNL,2,160,1.00E+05,48000,1.4,280,4.843150405,18000,1.755011604,0.644732976,11000,3800,0.826932982,24000,120000,6.9,4.6
-121.8489,39.7648,103011,LLNL,1.8,180,98000,46000,1.6,290,2.882700041,16000,1.169500456,4.134455377,11000,3700,3.157400136,23000,120000,6.9,4.2
-121.8489,39.7648,103011,LLNL,1.8,180,1.00E+05,47000,1.3,270,1.261483761,16000,1.125684107,3.478549185,11000,3600,4.001839565,24000,120000,7.275,4.3
-121.8523,39.7588,103012,LLNL,2,40,68000,98000,0.683997855,340,12.95128775,15000,16,1.159776074,12000,4500,4.427420028,84000,110000,1.11,4.1
-121.8523,39.7588,103012,LLNL,2.2,37,66000,96000,0.775149976,340,3.417267702,15000,13,4.808488106,11000,4800,2.867369617,88000,110000,1.5,4.4
-121.864,39.7574,103019,LLNL,2.6,110,1.00E+05,66000,1.3,290,13.44736647,18000,100,0.618871602,12000,12000,3.145665964,63000,150000,12.075,4.5
