Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Zürich / Fluntern
Altitude [m asl]:         556 m
Coordinates:              47° 22.7' N / 8° 33.9' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.01.2021


Year  Month        Temperature      Precipitation  
1914      8               16.6              139.7  
1914      9               12.6               86.3  
1914     10                7.8               32.1  
1914     11                2.5               46.9  
1914     12                2.6               54.1  
1915      1                0.0               77.3  
1915      2                0.1               66.1  
1915      3                2.4               72.3  
1915      4                6.4               97.9  
1915      5               14.2               94.1  
1915      6               17.6               91.5  
1915      7               16.1              156.3  
1915      8               15.3              110.6  
1915      9               11.2               80.9  
1915     10                6.0               21.3  
1915     11                1.1               89.9  
1915     12                4.4              110.7  
1916      1                3.1               57.9  
1916      2                1.7               93.4  
1916      3                4.4               68.8  
1916      4                7.7               76.8  
1916      5               13.1               66.9  
1916      6               12.9              201.7  
1916      7               16.3              139.8  
1916      8               16.1              115.9  
1916      9               11.2               84.3  
1916     10                8.4              140.6  
1916     11                3.6               67.9  
1916     12                1.7              105.5  
1917      1               -2.4               22.5  
1917      2               -2.8               12.3  
1917      3                1.4               81.0  
1917      4                4.2               67.6  
1917      5               15.2               72.2  
1917      6               17.8              103.7  
1917      7               16.9              209.4  
1917      8               16.1              190.4  
1917      9               15.4               59.3  
1917     10                7.0              178.4  
1917     11                3.8               64.7  
1917     12               -4.4               17.3  
1918      1               -0.6               58.9  
1918      2                0.3               31.9  
1918      3                4.0               47.2  
1918      4                7.7               61.0  
1918      5               13.6               42.0  
1918      6               12.9              171.6  
1918      7               16.9               79.7  
1918      8               16.5               80.2  
1918      9               13.3              176.3  
1918     10                6.6               50.5  
1918     11                2.9               28.7  
1918     12                3.3              171.5  
1919      1                0.1               21.6  
1919      2               -0.9               72.0  
1919      3                3.7              139.3  
1919      4                4.5              103.1  
1919      5               11.9               37.1  
1919      6               15.8               96.3  
1919      7               14.3              138.7  
1919      8               18.4               41.0  
1919      9               15.2               39.1  
1919     10                5.3               68.7  
1919     11                1.8              105.2  
1919     12                1.3              170.0  
1920      1                2.4               75.4  
1920      2                2.3               14.7  
1920      3                5.9               37.0  
1920      4                8.5               66.3  
1920      5               14.6               94.3  
1920      6               15.1               68.1  
1920      7               17.0              125.9  
1920      8               15.0               92.6  
1920      9               13.3               87.3  
1920     10                7.8                1.6  
1920     11                1.5                6.6  
1920     12                0.2               56.7  
1921      1                3.5               50.5  
1921      2                0.4                9.9  
1921      3                5.5               25.2  
1921      4                6.9               66.0  
1921      5               13.4               75.3  
1921      6               15.6               98.9  
1921      7               19.5               51.5  
1921      8               16.8               97.3  
1921      9               14.8               90.4  
1921     10               10.8               43.7  
1921     11                0.3               61.0  
1921     12                0.5               41.3  
1922      1               -0.9              102.1  
1922      2               -0.5              103.0  
1922      3                4.4               70.9  
1922      4                5.7              169.9  
1922      5               14.2               68.6  
1922      6               16.1              142.7  
1922      7               15.9              152.0  
1922      8               16.3              139.8  
1922      9               11.0               94.4  
1922     10                6.1              143.5  
1922     11                2.0               82.8  
1922     12                0.5               76.6  
1923      1               -0.5               40.8  
1923      2                3.0               77.4  
1923      3                4.5               38.7  
1923      4                7.6               83.2  
1923      5               11.9               92.7  
1923      6               11.8               87.2  
1923      7               19.3               73.6  
1923      8               17.3               63.8  
1923      9               13.2               73.3  
1923     10               10.5              137.7  
1923     11                3.2              117.1  
1923     12                0.0              140.1  
1924      1               -2.3               33.0  
1924      2               -2.4               24.3  
1924      3                3.4               48.1  
1924      4                7.7              125.8  
1924      5               13.2              121.1  
1924      6               14.8              168.7  
1924      7               16.8              132.6  
1924      8               13.7              172.6  
1924      9               13.3               40.8  
1924     10                9.1               79.9  
1924     11                3.2               10.8  
1924     12                0.1               22.3  
1925      1                1.3               52.4  
1925      2                3.1               42.4  
1925      3                1.0               31.8  
1925      4                7.9               95.5  
1925      5               12.5               58.8  
1925      6               16.0               66.8  
1925      7               16.9              162.9  
1925      8               16.1              124.0  
1925      9               10.9              125.7  
1925     10                8.9               30.7  
1925     11                1.9               64.2  
1925     12                0.5              133.5  
1926      1               -0.2               67.3  
1926      2                4.7               37.2  
1926      3                4.5               59.7  
1926      4                9.6               43.6  
1926      5               10.4              177.1  
1926      6               13.0              169.2  
1926      7               16.6              129.3  
1926      8               16.6               51.3  
1926      9               15.4               43.9  
