DGUNR,XUTM,YUTM,Top,Bottom,RedoxNumber,Texture
88. 750,553222,6222314,0,14,-999,-9999
,,,14,24,2,5
,,,24,25.8,1,2
88. 751,548864,6217921,0,3,-1,3
,,,3,7,-1,3
,,,7,12,-1,3
88. 759,548562,6218242,0,1.5,2,3
,,,1.5,6,2,5
,,,6,16,-2,3
,,,16,25,-2,3
,,,25,27,2,3
88. 776,551059,6222870,0,15,-999,-9999
,,,15,20,-999,5
,,,20,30,-999,3
,,,30,32,-999,5
88. 788,553692,6221020,0,8,-999,-9999
,,,8,12,-999,-9999
,,,12,14,-999,-9999
88. 789,554135,6220862,0,19,-999,-9999
,,,19,27,-999,-9999
88. 79,550314,6222809,handwriting,,-999,-9999
88. 815,550185,6219396,0,20,-999,-9999
,,,20,23,-2,5
,,,23,23.5,-999,3
,,,23.5,30.5,-999,3
88. 856,552538,6218863,0,3,-999,-9999
,,,3,7,-999,-9999
,,,7,13,-999,-9999
,,,13,17,-999,-9999
,,,17,20.5,-999,-9999
88. 878,551683,6222041,0,4,2,5
,,,4,6,-2,3
,,,6,10,-999,1
,,,10,20,-2,3
,,,20,20.5,-999,5
88. 922,549859,6218863,0,0.3,-999,8
,,,0.3,3,1,3
,,,3,10.5,-1,3
,,,10.5,19,-2,5
,,,19,20,-2,3
,,,20,31.5,-2,3
,,,31.5,32,-2,4
88. 923,549899,6218853,0,2.5,2,2
,,,2.5,3,2,5
,,,3,10,-1,3
,,,10,16,-2,5
,,,16,18.5,-2,2
,,,18.5,28,1,3
,,,28,30,-2,3
,,,30,36,-2,5
,,,36,37,-2,5
,,,37,42.5,-2,5
,,,42.5,50.5,-2,5
,,,50.5,55,-2,3
88. 929,555406,6222012,0,4,1,5
,,,4,20,-2,5
,,,20,32,-2,5
,,,32,38.5,-1,2
,,,38.5,40,-1,2
88. 934,552098,6221743,0,9,-999,-9999
,,,9,16,-2,5
,,,16,32.5,-2,5
,,,32.5,34,-2,5
,,,34,36,-2,5
88. 939,552328,6221643,0,8,-999,-9999
,,,8,13,-999,5
,,,13,21,-999,3
,,,21,23,-999,5
88. 965,550288,6222849,0,4.5,-999,5
,,,4.5,9,-2,5
,,,9,14,-999,5
,,,14,19,-999,5
,,,19,22.5,-999,5
,,,22.5,27.7,-2,5
,,,27.7,33,1,3
,,,33,38,1,3
,,,38,42.4,-999,3
,,,42.4,46,-2,5
,,,46,47.7,1,3
,,,47.7,53,-2,5
,,,53,58.5,-999,5
,,,58.5,61.2,-999,3
,,,61.2,66,-999,5
,,,66,71,-2,5
,,,71,74,-999,5
,,,74,80,-999,5
88. 968,552028,6219211,0,10,2,3
,,,10,15,1,5
,,,15,20,1,3
,,,20,22,1,3
,,,22,25,-2,3
,,,25,28,2,2
,,,28,35,-2,5
,,,35,39,-1,3
,,,39,44,-2,5
,,,44,46.5,-2,3
,,,46.5,62,-2,5
88. 976,554838,6220014,0,0.2,-999,8
,,,0.2,1.5,2,3
,,,1.5,2,2,3
,,,2,2.8,2,3
,,,2.8,3,2,3
,,,3,3.3,2,3
,,,3.3,3.6,2,3
,,,3.6,3.9,2,3
,,,3.9,4,2,3
,,,4,4.7,-1,3
,,,4.7,5,-1,3
,,,5,6.1,2,2
,,,6.1,7.5,2,3
,,,7.5,8,-999,3
,,,8,9,2,3
,,,9,10.3,2,3
,,,10.3,11.1,2,3
,,,11.1,12.3,2,3
,,,12.3,13.1,2,3
,,,13.1,14.4,2,3
,,,14.4,15,2,3
88. 977,554821,6220267,0,0.2,-999,8
,,,0.2,0.8,2,3
,,,0.8,1.4,2,3
,,,1.4,2,2,3
,,,2,3.2,2,3
,,,3.2,4,-2,5
,,,4,5,2,5
,,,5,6,-2,5
88. 978,555217,6220261,0,0.2,-999,8
,,,0.2,0.9,2,3
,,,0.9,1.9,2,3
,,,1.9,2.5,2,3
,,,2.5,2.9,2,3
,,,2.9,3.5,2,3
,,,3.5,4.3,-1,3
,,,4.3,5.6,2,3
,,,5.6,6,-1,3
,,,6,7.3,2,3
,,,7.3,8.1,-1,3
,,,8.1,9.1,-1,3
,,,9.1,10.2,2,3
,,,10.2,11.1,2,3
,,,11.1,11.9,-1,3
,,,11.9,13.7,2,3
88. 979,555159,6220854,0,0.2,-999,8
,,,0.2,0.9,2,3
,,,0.9,1.9,2,3
,,,1.9,2.8,2,3
,,,2.8,3.9,-1,3
,,,3.9,4.8,-1,3
,,,4.8,5.6,2,3
,,,5.6,6.3,-2,5
,,,6.3,7,-2,5
,,,7,7.6,-2,5
88. 984,549510,6218609,0,0.4,-999,8
,,,0.4,6,2,3
,,,6,9.5,2,3
,,,9.5,16,1,4
,,,16,19,2,3
,,,19,22,-2,5
,,,22,27,-2,5
,,,27,29,-2,5
,,,29,36,-2,3
,,,36,37.5,1,3
,,,37.5,40.5,-2,5
,,,40.5,41.5,-999,1
,,,41.5,57,-2,5
,,,57,63,-2,5
88. 985,549496,6218579,0,0.4,-999,8
,,,0.4,6.5,2,3
,,,6.5,7.5,-2,4
,,,7.5,10,1,3
,,,10,14,1,3
,,,14,16.5,1,3
88. 986,554158,6220853,0,29,-999,-9999
,,,29,36,-999,3
